entidad,municipio,tot_viviendas,num_encuestas,encuestas_100
27,010,23707.0,17,0.07170877799805965
20,399,11367.0,8,0.07037916776634116
25,006,271939.0,191,0.0702363397673743
20,043,28774.0,20,0.06950719399457844
25,010,25917.0,18,0.06945248292626462
29,028,5783.0,4,0.06916825177243645
05,002,47239.0,32,0.06774063803213447
23,008,110776.0,75,0.06770419585469777
02,002,323836.0,218,0.06731802517323583
30,135,6017.0,4,0.06647831145088914
24,035,91822.0,61,0.06643288100890854
26,018,135728.0,90,0.06630908876576683
26,043,78387.0,51,0.06506180871828236
13,063,24689.0,16,0.06480618899104865
26,017,26333.0,17,0.0645577792123951
30,108,44984.0,29,0.06446736617463987
28,038,93870.0,60,0.06391818472355384
19,048,82925.0,53,0.06391317455532107
26,030,278618.0,178,0.06388675534244019
05,030,242628.0,155,0.06388380566134164
24,013,53342.0,34,0.06373964230812493
02,001,139596.0,88,0.06303905556033124
20,067,74590.0,47,0.06301112749698351
20,079,25593.0,16,0.06251709451803228
05,035,215134.0,134,0.06228676080954196
13,048,93274.0,58,0.062182387374831144
24,020,27355.0,17,0.06214585998903308
21,071,27579.0,17,0.061641103738351646
02,003,31134.0,19,0.061026530481146014
26,055,59733.0,36,0.06026819346090101
28,041,101675.0,61,0.05999508237029752
27,003,28480.0,17,0.059691011235955056
23,003,6767.0,4,0.05911038865080538
30,048,40689.0,24,0.058984000589840005
16,102,92853.0,53,0.05707946969941736
08,037,449597.0,255,0.056717460303338324
12,055,29999.0,17,0.05666855561852062
13,016,16091.0,9,0.05593188739046672
16,043,17954.0,10,0.05569789461958338
08,019,300891.0,166,0.05516947997779927
30,038,27350.0,15,0.054844606946983544
08,021,47690.0,26,0.054518767037114696
25,001,132254.0,72,0.05444069744582394
19,025,29632.0,16,0.05399568034557235
11,014,38971.0,21,0.05388622308896359
11,017,151934.0,80,0.05265444206036832
07,101,166210.0,87,0.0523434209734673
08,032,34430.0,18,0.05227998838222481
30,174,30804.0,16,0.05194130632385405
13,051,63897.0,33,0.05164561716512513
14,063,29121.0,15,0.051509220150406924
28,022,159607.0,82,0.05137619277349991
15,118,48816.0,25,0.05121271714192068
09,009,39090.0,20,0.05116398055768739
02,004,565562.0,289,0.05109961418907211
28,032,216244.0,109,0.05040602282606685
19,021,131740.0,66,0.05009867921663883
02,005,38110.0,19,0.049855680923642086
05,027,34382.0,17,0.049444476761095923
07,078,52718.0,26,0.04931901817216131
11,023,39608.0,19,0.047970107049080994
14,067,86552.0,41,0.04737036694703762
26,042,46933.0,22,0.04687533292139859
29,023,6420.0,3,0.04672897196261682
07,089,96307.0,45,0.046725575503338286
16,108,58292.0,27,0.04631853427571536
09,008,68100.0,31,0.04552129221732746
16,053,244334.0,110,0.04502034100861935
15,099,71587.0,32,0.04470085350692165
21,034,11231.0,5,0.04451963315822278
11,007,143436.0,63,0.043922027942775874
21,114,477771.0,207,0.04332619602278079
14,101,150187.0,64,0.04261354178457523
21,019,37594.0,16,0.042559982976006806
25,018,37685.0,16,0.0424572110919464
19,006,181719.0,74,0.04072221396771939
20,385,27405.0,11,0.040138660828316
13,069,47540.0,19,0.03996634413125789
11,003,42837.0,17,0.03968531876648691
28,009,65658.0,26,0.039599134911206556
09,002,134204.0,52,0.038746982206193555
11,020,440712.0,165,0.03743941621739367
12,035,42877.0,16,0.03731604356648086
08,017,56942.0,21,0.036879631906150116
27,008,51674.0,19,0.0367689747261679
21,132,38321.0,14,0.03653349338482816
21,156,85383.0,30,0.03513579986648396
20,390,14259.0,5,0.0350655726208009
19,026,182547.0,63,0.034511660010846525
20,184,47199.0,16,0.03389902328439162
30,085,20857.0,7,0.033561873711463776
15,029,54227.0,18,0.03319379644826378
15,053,15279.0,5,0.032724654754892335
